Name,Town,MIDAS Number,Latitude,Longitude,Elevation,Notes,Name Change
Alligator Pond,TA R11 WELS,0502,45.6302387725,-69.1893507449,1499, , 
Amazon Lake,Grand Lake Stream Plt,1108,45.2666970115,-67.80486159829999,390, , 
Ambajejus Lake,T1 R9 WELS,0982,45.7200984191,-68.8675075937,492,Pemadumcook Chain Lake, 
Ames Pond,Stonington,5554,44.159580959,-68.6480837956,25, , 
Anderson Pond,T10 SD BPP,4426,44.6475632852,-68.0593219249,213, , 
Anderson Pond,Augusta,5422,44.3572633117,-69.659756323,280,Evers Pond, 
Androscoggin Lake,Wayne,3836,44.3241783631,-70.0849996378,269, , 
Annabessacook Lake,Monmouth,9961,44.2697037491,-69.9801133914,171, , 
Appalachie Pond,Boothbay Harbor,5370,43.8535984997,-69.60914559600001,65, , 
Apple Valley Lake,Winthrop,3834,44.2902105415,-70.02301535789999,318,Bog Pond, 
Arnold Brook Lake,Presque Isle,0409,46.6512445798,-68.02828404970001,456, , 
Arnold Pond,Coburn Gore,3332,45.3827859147,-70.7888875483,1378, , 
Atkins Pond,T8 R9 WELS,4176,46.3089366336,-68.93772239170001,790, , 
Attean Pond,Attean Twp,2682,45.5686185588,-70.29035077250001,1160, , 
Atwood Pond,T5 R8 WELS,4250,46.1049539402,-68.7683986513,736, , 
Auburn Lake,Auburn,3748,44.1447988838,-70.25331076560001,260,Lake Auburn, 
Aunt Betty Pond,Bar Harbor,4588,44.3704407936,-68.27437541499999,209, , 
Austin Pond,T5 R17 WELS,2410,46.05271297480001,-69.95021037639999,1718, , 
Austin Pond,Bald Mountain Twp T2 R3,0278,45.2098903705,-69.7476761321,1184, , 
Avery Pond,T7 R15 WELS,3001,46.241399082,-69.6675038268,999, , 
Aziscohos Lake,Parkertown Twp,3290,45.0245569759,-71.00758520300001,1517, , 
Aziscohos Pond,Magalloway Plt,3106,44.896223591,-70.9908985221,2045, , 
B Lake,Hammond,1718,46.20183858440001,-68.0377647517,723, , 
B Pond,Upton,3276,44.7433418888,-70.95965238540001,1389, , 
B Pond,TB R11 WELS,0478,45.5705281348,-69.1309624614,1039, , 
Babbble Brook Deadwater,TB R10 WELS,0544,45.5099759178,-69.03525913119999,730, , 
Back Pond Kezar,Stoneham,3199,44.2099313727,-70.8138457865,572,Five Kezar Ponds, 
Back Settlement Pond,Mattawamkeag,3044,45.5533394788,-68.3133313228,406, , 
Badger Pond,Willimantic,0860,45.29880900490001,-69.43563938760001,440, , 
Bag Pond,Chain of Ponds Twp,5064,45.3272927953,-70.652729335,1275,Chain of Ponds, 
Bait Pond,T1 R9 WELS,0978,45.6810364284,-68.86040300010001,495, , 
Baker Flowage,Mayfield Twp,0272,45.1448942873,-69.7289736802,1162,missing 24k lake/pond data - this feature is in the rivers layer, 
Baker Lake,T7 R17 WELS,2400,46.2679244939,-69.91391381760001,1181, , 
Baker Pond,Caratunk,0242,45.2355708493,-69.8386079512,1065, , 
Baker Pond,Moxie Gore,4060,45.3833881252,-69.8665388534,972, , 
Baker Pond,Tomhegan Twp,4122,45.7262154108,-69.84601388110001,1078, , 
Baker Pond,Bowdoin College Grant West Twp,0422,45.5366077576,-69.41217827369999,1650, , 
Baker Pond,T5 R6 BKP WKR,5110,45.39262352380001,-70.37546992990001,1447, , 
Baker Pond,Solon,0062,44.9816258258,-69.77107484859999,628, , 
Baker Stream Pond,Bald Mountain Twp T2 R3,7104,45.2453026984,-69.82778819710001,975,missing 24k lake/pond data - this feature is in the rivers layer,Yes - unnamed pond to local name
Balch Pond,Acton,3898,43.6119446668,-70.96377524499999,558,Stump & Balch Ponds, 
Bald Mountain Pond,Bald Mountain Twp T2 R3,0314,45.25898463720001,-69.72927120449999,1213, , 
Ballard Pond,Farmington,5196,44.7185391765,-70.22654057280001,710, , 
Bangor Health Inst. Pd,Bangor,6939,44.81946106,-68.7453855455,125, ,Yes - unnamed pond to local name
Barbless Pond,T7 SD BPP,4384,44.5617666983,-68.0729562248,229, , 
Barker Pond,Cornville,2600,44.9072295371,-69.6344378654,379, , 
Barker Pond,Bowmantown Twp,3118,45.30699217429999,-71.01019601580001,2169, , 
Barker Pond,Sebago,3136,43.8943718073,-70.75545933780001,494, , 
Barnard Pond,Eustis,2352,45.2164571129,-70.54862625680001,1407, , 
Barnett Pond,Oxford,3774,44.1727742013,-70.4481462264,535, , 
Barren Pond,T24 MD BPP,1220,44.8407088339,-67.8733554563,255, , 
Barrett Pond,Holeb Twp,2658,45.5208429978,-70.4884906118,1452, , 
Barrows Lake,Alexander,1298,45.042762648,-67.5026982789,223, , 
Bartlett Pond,T10 R9 WELS,1986,46.5555419307,-68.871324621,917, , 
Bartlett Pond,Livermore,3820,44.4011913925,-70.20520775030001,494, , 
Bartlett Pond,Waterboro,5026,43.5756437424,-70.6571130443,274, , 
Basil Pond,Fort Kent,0417,47.246004268,-68.4606467455,928, , 
Basin Pond,Pierce Pond Twp,0042,45.2453417865,-70.1396877496,1258, , 
Basin Pond,Sullivan,4392,44.5335187796,-68.1769790454,170, , 
Basin Pond,Monroe,5488,44.5889374681,-69.0725380942,314, , 
Basin Pond,Fayette,5654,44.4573484998,-70.0521677685,409, , 
Basin Pond (Lower),Mount Katahdin Twp,2044,45.9218283161,-68.8945914321,2453,"Basin Ponds, Basin Pond #2", 
Basin Pond (Upper),Mount Katahdin Twp,2042,45.9248016527,-68.8954719624,2454,"Basin Ponds, Basin Pond #1", 
Baskahegan Lake,Brookton Twp,1078,45.50780914409999,-67.8316415698,417, , 
Batch Pond,T7 R6 WELS,3024,46.2846857264,-68.5484882895,870, , 
Bauds Pond,New Vineyard,0018,44.8209119426,-70.1151500734,555,Bands Pond (US-M120), 
Bauneag Beg Lake,North Berwick,3992,43.3649867541,-70.73896234279999,205, , 
Bay of Naples Lake,Naples,9685,43.955188408,-70.5893750824,268,Brandy Pond (BGN/1949), 
Beagle Club Pond,Vassalboro,5451,44.4690938104,-69.61938960090001,145,missing 24k lake/pond data - this feature is in the rivers layer,Yes - name change to local name
Beal Pond,Madrid Twp,2320,44.9031908453,-70.409544723,1330,Trout Pond, 
Bean Hole Pond,T3 R11 WELS,0694,45.9361351639,-69.1341224734,1205, , 
Bean Pond,T11 R17 WELS,1880,46.6407030537,-69.9504944145,1199, , 
Bean Pond,Pleasant Ridge Plt,0204,45.1277254523,-69.9788049741,1250, , 
Bean Pond,Sidney,0455,44.4004309744,-69.8230753699,272, , 
Bean Pond,T2 R12 WELS,0656,45.8068423173,-69.2163387255,1005, , 
Bean Pot Pond,T5 R15 WELS,4026,46.0555863573,-69.7118123945,1336, , 
Bear Brook Bog,T6 R15 WELS,4020,46.1466070054,-69.6822606516,1090, , 
Bear Mountain Pond,Moro Plt,3656,46.12857314159999,-68.41186603849999,943, , 
Bear Pond,Cedar Lake Twp,2136,45.4447451308,-68.71754401370001,725, , 
Bear Pond,T2 R13 WELS,2934,45.8250117712,-69.3285845015,1011, , 
Bear Pond,Waterford,3420,44.1531068532,-70.7178554374,376, , 
Bear Pond,Shirley,0356,45.33860645549999,-69.6038107209,1085, , 
Bear Pond,Hartford,3624,44.3388665745,-70.2781712732,373, , 
Bear Pond,T6 R15 WELS,4018,46.136529055,-69.6903269391,1091, , 
Bear Pond,T28 MD BPP,4480,44.8540310299,-68.0919849055,564, , 
Bear Pond,T1 R13 WELS,0456,45.7215457709,-69.32662561550001,1330, , 
Bear Pond,T3 R5 BKP WKR,5140,45.3774054995,-70.34329956009999,1766, , 
Bear Pond,TA R11 WELS,0528,45.6485168554,-69.1963352364,1365, , 
Bear Pond,Palermo,5728,44.3971560426,-69.4246759074,475, , 
Bear Pond,Rainbow Twp,0636,45.803314675,-69.1571594135,1050, , 
Bear Pond,Elliottsville Twp,0882,45.3597453356,-69.4654598227,881, , 
Bear Pond,Bowerbank,9865,45.3025464542,-69.298224292,362, , 
Beattie Pond,Beattie Twp,5066,45.5024747934,-70.6334704648,1801, , 
Beau Lake,T19 R11 WELS,9785,47.33937825240001,-69.0562667009,575,"Beau Lac, Petteiquaggamack, Saint Francis, Lake", 
Beaver Bog,Rangeley,2390,45.007404449,-70.7382172511,1625, , 
Beaver Bog Pond,Tim Pond Twp,2358,45.14015270769999,-70.6642079821,2000,feature drawn from DOQ data, 
Beaver Brook Lake,Linneus,1056,46.0146639231,-68.0005136249,602, , 
Beaver Brook Pond,Plymouth Twp,4048,45.8819228017,-69.9127726496,1073,Part of / connected to Seboomook Lake,Yes - name change to local name
Beaver Dam Pond,Berwick,6967,43.2917709557,-70.78981759369999,185,"Beaver Dam Pond #1, Cider Mill Pond", 
Beaver Dam Pond,Bar Harbor,8567,44.3612125381,-68.1952628857,137, ,Yes - unnamed pond to local name
Beaver Hill Pond,Sanford,3743,43.4795151811,-70.7823530953,530, , 
Beaver Lake,Calais,1414,45.1328006605,-67.2091004089,175,Beaver Pond, 
Beaver Park Pond #1,Lisbon,3809,44.027780521,-70.1318739294,175,"Beaver Park Ponds, Lisbon Recreation Ponds",Yes - unnamed pond to local name
Beaver Park Pond #2,Lisbon,3810,44.0298705242,-70.1304425675,165, ,Yes - unnamed pond to local name
Beaver Park Pond #3,Lisbon,3811,44.0283692871,-70.1271663502,175,"Beaver Park Ponds, Lisbon Recreation Ponds",Yes - unnamed pond to local name
Beaver Pond,Crawford,1300,45.0386866577,-67.5375347669,315, , 
Beaver Pond,T14 R5 WELS,1662,46.9196763796,-68.3802165102,795, , 
Beaver Pond,T12 R17 WELS,1872,46.69848515310001,-69.98043456800001,1204, , 
Beaver Pond,Forsyth Twp,2636,45.6736318765,-70.431288092,1603, , 
Beaver Pond,T8 R5 WELS,3076,46.3400920752,-68.40632802570001,866, , 
Beaver Pond,Parmachenee Twp,3114,45.1801259543,-71.0448994522,2210, , 
Beaver Pond,Denmark,3124,43.9956008205,-70.82388273239999,397, , 
Beaver Pond,Magalloway Plt,3310,44.8962581494,-70.94067534280001,1486, , 
Beaver Pond,Seven Ponds Twp,3354,45.2609434164,-70.7775004568,1993, , 
Beaver Pond,Township D,3588,44.8124272673,-70.6880778172,1971, , 
Beaver Pond,Dixfield,3644,44.5364993204,-70.3559136457,1450,feature drawn from DOQ data, 
Beaver Pond,Shawtown Twp,0484,45.6359972119,-69.2377221624,1314, , 
Beaver Pond,Westbrook,0517,43.6735137498,-70.36416893880001,75, , 
Beaver Pond,Rome,5342,44.5512421242,-69.92796014290001,425, , 
Beaver Pond,Bridgton,5582,44.0657487516,-70.7717856913,478, , 
Beaver Pond,Kennebunkport,5632,43.407143602,-70.4115504844,10, , 
Beaver Pond,T3 R11 WELS,0670,45.8874144541,-69.0796905298,1210, , 
Beaver Pond,T42 MD BPP,7309,45.103736281,-67.9973218148,350,missing 24k lake/pond data - this feature is in the rivers layer, 
Beaver Pond,T7 R9 NWP,0818,45.43100684820001,-69.2743029339,1030, , 
Beaver Pond,Rangeley Plt,8739,44.8746871629,-70.6592581707,2030, , 
Beaver Pond,Dudley Twp,9165,46.22710274870001,-68.1173007108,790, , 
Beaver Pond,Alder Brook Twp,9756,45.8341204073,-70.104143658,1305, , 
Beaver Pond (East),Phillips,2326,44.834832429,-70.3111212784,671, , 
Beaver Pond (West),Phillips,2325,44.8342063298,-70.3177413743,665, , 
Beaver Tail Pond,T14 R9 WELS,1536,46.9019579438,-68.9504744437,999, , 
Beck Pond,T3 R5 BKP WKR,5142,45.3728391353,-70.33907098740001,1736, , 
Beddington Lake,Beddington,4524,44.8211687718,-68.05126743309999,244, , 
Beech Hill Pond,Otis,4352,44.6899817531,-68.4601431052,199, , 
Beech Island Pond,Surry,8429,44.4747968635,-68.5380646199,165, , 
Beech Pond,Palermo,5726,44.3857490697,-69.451021621,430, , 
Beer Logan,Soldiertown Twp T2 R7 WELS,2306,45.76232096489999,-68.57672847329999,305,Bear Logan, 
Belden Pond,Palermo,5730,44.4133979032,-69.3857322352,355, , 
Belfast Reservoir #1,Northport,7745,44.3936085314,-68.9937706489,25,this feature was copied from the rivers layer, 
Belfast Reservoir #2,Belfast,4830,44.4001569145,-69.0111297208,59, , 
Bell Marsh Pond,York,0123,43.2156477038,-70.7197040345,138, , 
Bell Marsh Reservoir,York,0109,43.1965191265,-70.72570862080001,136,Belle Marsh Reservoir,Yes - unnamed pond to local name
Bell Pond,Monson,0340,45.34295126629999,-69.5213627938,1278, , 
Bell Pond,T4 R9 WELS,4210,46.00283647330001,-68.8827729243,1175, , 
Ben Annis Pond,Hermon,2282,44.7734186337,-68.943923734,121, , 
Ben Gile Pond,Lang Twp,2323,45.0615818977,-70.63454901839999,1690, , 
Ben Lake,Wallagrass,1638,47.11981386599999,-68.6286061501,727, , 
Benjamin Pond,Attean Twp,2684,45.59804196990001,-70.3623301124,1254, , 
Bennett Lake,Easton,1824,46.6177442886,-67.8781293421,646, , 
Bennett Pond,Parkman,0750,45.1429895094,-69.4563439886,595, , 
Bennoch Pond,Old Town,6576,44.9572606961,-68.69717094240001,105, ,Yes - unnamed pond to local name
Berry Pond,T2 R13 WELS,2930,45.8067399495,-69.3969975943,1211, , 
Berry Pond,Greene,3794,44.2052654277,-70.178917605,429, , 
Berry Pond,Wayne,3828,44.3336906556,-70.0239718312,242, , 
Berry Pond,Sweden,5578,44.1006613403,-70.8042376664,475, , 
Berrypatch Pond,Day Block Twp,9815,44.9091626928,-67.72426633089999,232, ,Yes - unnamed pond to local name
Bethel Swimming Pond,Bethel,3261,44.4175446703,-70.7985388333,0, , 
Bickford Pond,Porter,3158,43.8386750236,-70.9718421434,462, , 
Big Bartley Pond,Holeb Twp,2656,45.5518663039,-70.4275724047,1243, , 
Big Beaver Pond,T7 R9 WELS,4162,46.2639189277,-68.8568828351,782, , 
Big Beaver Pond,Rainbow Twp,0610,45.7962310211,-69.0791585794,992, , 
Big Bennett Pond,Guilford,0844,45.25073900060001,-69.3352818704,361, , 
Big Benson Pond,Willimantic,0864,45.3650123365,-69.3319399368,717, , 
Big Berry Pond,Johnson Mountain Twp,2550,45.5055860639,-70.0394456197,1601,Berry Pond (US-T121), 
Big Black Brook Lake,Caswell,1860,47.0308932443,-67.90294352140001,799, , 
Big Boardway Pond,TA R11 WELS,0494,45.6232515747,-69.1835878863,1485,Boardman Ponds (Big), 
Big Bog,T5 R17 WELS,2412,46.11333385050001,-69.9821319384,1268,SDH moved point inside poly on 03/30/04, 
Big Brook Lake,T14 R10 WELS,1480,46.8457453836,-69.0128458332,1155, , 
Big Bunker Pond,Shirley,0362,45.3273687562,-69.5830403296,1103,Bunker Ponds, 
Big Caribou Pond,T7 R10 WELS,4142,46.2978203156,-68.98478324520001,795, , 
Big Clemons Pond,Hiram,3174,43.8767042255,-70.8794427215,401,Clemons Pond, 
Big Concord Pond,Woodstock,3466,44.443335999,-70.5527807288,991, , 
Big Dimmock Pond,Caratunk,0236,45.219141456,-69.85933078700001,1463, , 
Big Duck Pond,East Middlesex Canal Grant Twp,2954,45.7622919429,-69.6319505358,1031, , 
Big Eagle Lake,Eagle Lake Twp,2858,46.3313485252,-69.3556925524,930, , 
Big Fish Pond,Holeb Twp,2660,45.5507966696,-70.4538146686,1337,Fish Pond (US-T121), 
Big Fisher Pond,T2 R12 WELS,2940,45.7790407552,-69.2809075272,1159, , 
Big Grapevine Pond,Bowerbank,0840,45.3141024569,-69.25686832780001,725, , 
Big Greenland Pond,Danforth,7469,45.6052882146,-67.7487233312,581,Little Greenland Lake, 
Big Greenwood Pond,Elliottsville Twp,0884,45.36085989000001,-69.40602259409999,662, , 
Big Grenier Pond,T4 R5 NBKP,2456,45.9713070645,-70.2430238518,1681, , 
Big Houston Pond,T7 R9 NWP,0916,45.42762235600001,-69.234607576,822,"Big Houston Pond, Big Huston Pond, Houston Pond (NONE)", 
Big Hurd Pond,T6 R15 WELS,4014,46.1678584625,-69.6610267721,1024,Little Hurd Lake, 
Big Indian Pond,Moosehead Junction Twp,0324,45.4390024689,-69.7374628347,1209, , 
Big Indian Pond,Saint Albans,5464,44.9350585212,-69.3861332996,269,Indian Pond, 
Big Island Pond,Seven Ponds Twp,3352,45.2808110814,-70.74576061080001,2150, , 
Big Labrador Pond,Sumner,3598,44.3951285614,-70.4275126643,461, , 
Big Lake,Big Lake Twp,1288,45.17119953569999,-67.6870654347,202, , 
Big Lyford Pond,Shawtown Twp,0438,45.59205905599999,-69.32101311149999,1318, , 
Big Machia Lake,T12 R8 WELS,1960,46.6807410046,-68.79469718910001,902, , 
Big Madagascal Pond,Burlington,2254,45.2955214311,-68.3466599153,295, , 
Big Marsh Pond,T8 R9 WELS,4174,46.3404837272,-68.8594620232,806, , 
Big Minister Pond,T2 R10 WELS,0590,45.7881371174,-69.05036022109999,778, , 
Big Moose Pond,Moosehead Junction Twp,0334,45.4545602228,-69.6796778029,1486,"(the current name was offensive under 1 MRSA, Sec 1101)",Yes - offensive name changed
Big Mucalsea Pond,Russell Pond Twp,4036,46.0827542387,-69.7377292381,1465, , 
Big Murphy Pond,Rainbow Twp,0638,45.7948404441,-69.1685670454,985,"Murphy Pond #1, Murphy Ponds", 
Big Notch Pond,Moosehead Junction Twp,0328,45.4404142969,-69.7039037728,1615, , 
Big Pine Pond,T3 R13 WELS,2920,45.8680038647,-69.42782520590001,1098, , 
Big Pleasant Lake,T9 R11 WELS,2756,46.47346176319999,-69.17992649590001,990, , 
Big Pleasant Pond,TA R11 WELS,0512,45.6424677319,-69.169614432,1291, , 
Big Pond,Steuben,1392,44.4041719688,-67.89735627580001,10, , 
Big Pond,Phippsburg,5678,43.7125169108,-69.8413669925,15,Cape Small Pond, 
Big Pond,Perkins Twp Swan Island,7797,44.0457974765,-69.8004229399,20, , 
Big Reed Pond,T8 R10 WELS,2842,46.3532340877,-69.0570583256,1128, , 
Big Robar Pond,T4 R8 WELS,2296,45.99036746,-68.74752117609999,845, , 
Big Rocky Pond,TA R11 WELS,0522,45.6518549578,-69.1407210612,1376, , 
Big Spring Pond,Shawtown Twp,9666,45.6211731066,-69.2380504611,1315, , 
Big Trickey Pond,Alder Brook Twp,2514,45.804932653,-70.1191581091,1401, , 
Big Wilder Pond,T7 R9 NWP,0806,45.4456760633,-69.3511555855,1275, , 
Bigelow Pond,Magalloway Plt,3318,44.8583653241,-70.9919243403,1300, , 
Bill Morris Pond,T3 R5 BKP WKR,0128,45.3847323616,-70.2428956899,1615, , 
Billfish Pond,Trout Brook Twp,4254,46.1358500675,-68.8226664467,926, , 
Billings Pond,T11 R9 WELS,1970,46.62525603139999,-68.8372302163,966, , 
Billings Pond #1,Parmachenee Twp,3108,45.226022265,-71.02398578579999,1695,Billings Ponds, 
Billings Pond #2,Parmachenee Twp,3110,45.2298224362,-71.02225380039999,1695,Billings Ponds, 
Birch Harbor Pond,Winter Harbor,4468,44.3916812513,-68.0627822828,95, , 
Birch Pond,Roxbury,3508,44.6428958502,-70.5567757205,1211, , 
Birch Ridge Pond #1,TA R11 WELS,0514,45.641249738,-69.1525979542,1336,Birch Ridge Ponds, 
Birch Ridge Pond #2,TA R11 WELS,0516,45.6384548993,-69.15021551869999,1330,Birch Ridge Ponds, 
Birch Ridge Pond #3,TA R11 WELS,0518,45.6420311438,-69.1583794989,1338,Birch Ridge Ponds, 
Birchwood Pond,West Bath,5872,43.8337403808,-69.8614972786,90, , 
Bird Pond,Norway,9693,44.2469327132,-70.55410595470001,415, , 
Biscay Pond,Bremen,5710,44.0031792374,-69.4788677639,77, , 
Bishop Pond,T13 R7 WELS,1572,46.74745972929999,-68.68007398579999,910, , 
Bishop Pond,Fort Fairfield,1812,46.7055444798,-67.9066326925,655, , 
Black Brook Deadwater,T2 R12 WELS,9706,45.7750033421,-69.31162953090001,1070,missing 24k lake/pond data - this feature is in the rivers layer, 
Black Brook Pond,Pierce Pond Twp,0040,45.2396799546,-70.1640062094,1136, , 
Black Brook Pond,Moxie Gore,4062,45.3980294283,-69.89259761939999,896, , 
Black Brook Pond #1,T19 MD BPP,1184,44.7998815323,-67.7601939196,185,Black Brook Ponds, 
Black Brook Pond #2,T19 MD BPP,1189,44.800228347,-67.75590482760001,185,Black Brook Ponds (2nd) - (might be an old IF & W name), 
Black Brook Pond #3,T19 MD BPP,1188,44.7978634707,-67.7645625461,185,Black Brook Ponds (1st) - (might be an old IF & W name), 
Black Brook Pond #4,T19 MD BPP,1190,44.7996007084,-67.7695234449,195,Black Brook Ponds, 
Black Brook Pond #5,T25 MD BPP,1194,44.8036384374,-67.7629483951,185,Black Brook Ponds, 
Black Brook Pond #6,T25 MD BPP,1192,44.8039736818,-67.75706231149999,177,Black Brook Ponds, 
Black Cat Pond,T8 R6 WELS,3086,46.3147706776,-68.45974332270001,870, , 
Black Hill Pond,Embden,0079,44.9134045656,-69.9752775139,447, , 
Black Lake,T16 R9 WELS,1568,47.0613861579,-68.91327017800001,1284, , 
Black Lake,Fort Kent,1666,47.2136911567,-68.4671009476,769, , 
Black Pond,T15 R9 WELS,1506,46.97453172660001,-68.8379060291,1225, , 
Black Pond,Saint John Plt,1622,47.1684753898,-68.72602216190001,1135, , 
Black Pond,T6 R14 WELS,2896,46.14264037390001,-69.4798467568,942, , 
Black Pond,Sweden,3230,44.1452104818,-70.79933290770001,495, , 
Black Pond,Porter,0351,43.8302828846,-70.917658813,388, ,Existing name - not on USGS maps or in GNIS
Black Pond,Turner,3740,44.2308960731,-70.2622928677,315, , 
Black Pond,Lebanon,3878,43.4598735946,-70.9371732429,480, , 
Black Pond,T1 R12 WELS,0454,45.7470592878,-69.2782417123,1113, , 
Black Pond,Sedgwick,4644,44.3385321598,-68.65699443520001,159, , 
Black Pond,Vienna,5180,44.5280195767,-70.0005282539,355, , 
Black Pond,Fryeburg,5564,43.9843627307,-70.9625140772,484, , 
Black Spruce Pond,T8 R10 WELS,2844,46.34102272930001,-69.0192023429,1012, , 
Blackmore Pond,T7 R10 WELS,2830,46.2880689177,-69.01065867440001,900, , 
Blair Pond,Jackman,9728,45.63416290890001,-70.1656468651,1159, , 
Blaisdell Pond,York,5600,43.1346358132,-70.68992827770001,60, , 
Blaisdell Pond,Phippsburg,7785,43.7764963727,-69.8315348587,105, , 
Blake Lake,T16 R6 WELS,1648,47.0942729151,-68.5379257064,763, , 
Blake Lake,T15 R6 WELS,9181,46.92488540860001,-68.4882038221,855, ,Yes - unnamed pond to local name
Blake Pond,Palermo,7749,44.4238825325,-69.44834306910001,350, , 
